title,overview,genres,poster_path,vote_average
OVERLORD: The Sacred Kingdom,"Facing possible annihilation by the Demon Emperor's demi-human army, the Sacred Kingdom reluctantly seeks aid from the feared, undead Sorcerer King Ainz.","Action, Adventure, Animation, Fantasy",/jEvytxNa5mfW7VAUmDWsZtIdATc.jpg,7.9
Ruleta,"As Christmas time approaches, an old man is forced into a game of roulette to answer for his sins.","Thriller, Drama, Mystery",/e6LSa4W9FjEUqcozAJHzUaMROE9.jpg,0.0
Bastille Day,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.",Action,/lTby7l0zX7xG8Pt0eNrWBrNzdqX.jpg,6.323
Tetractys,"A man must go the the dark depths of his unconscious to retrieve and save his inner child. Along the way he must face his own childhood-trauma created monsters as he travels thru the maze that is his mind, as he enters... the Tetractys.","Horror, Fantasy",/eztGaQDCNl4AQRJuxqbvI6Yauyt.jpg,0.0
Sticks,"Four college students reunite on a summer night at a house in the woods. As they tell scary stories around the campfire, the line between imagination and reality blurs, and they get the feeling they may not be alone on the property.","Comedy, Horror, Thriller",/uSTVCp9FusY52KRnwattYY8ua9O.jpg,0.0
淫乱人间,,,,3.0
Nina,,Documentary,/hd865q1KeT0gp9dmMV1KlKKu3TZ.jpg,9.0
Breathless Soldier,"A hit man on a mission that takes a bizarre turn.  Short film for a final assignment in my first semester at Emerson College. I took inspiration from two films we watched throughout the semester ""Breathless"" (1960) by Jean-Luc Godard and ""The American Soldier"" (1970) by Rainer Werner Fassbinder.","Action, Crime, Drama",,0.0
31 Minutes: One Hot Christmas,"Puppeton, the town of 31 Minutes, faces such an infernally hot Christmas that Santa Claus cancels his visit! Bodoque the rabbit heroically volunteers to rescue the presents from the North Pole, while his friends improvise a disastrous Christmas show. But what they don't expect is Bodoque giving in to some irresistible temptations along the way.","Family, Comedy, Adventure, Music",/s5Y0qRZGgdbNsxshhuIwXyslUYc.jpg,7.878
Death Scene,"The sinister mesmerist Svengali hypnotizes two characters, then dies abruptly in a Trilby segment from David Henderson's Aladdin, Jr. burlesque. Lost.",Comedy,,2.0
Noise & Confusion,A patient suffering from a rare auditory symptom faces an invisible enemy.,Mystery,/roqA9WBNk9Cf57mrPByLbhliAsh.jpg,0.0
Resurrection,"In a future where humanity has surrendered its ability to dream in exchange for immortality, an outcast finds illusion, nightmarish visions, and beauty in an intoxicating world of his own making.","Science Fiction, Drama",/n4YEPanrb976XfPKjSsHaIrlSt9.jpg,7.2
Insidious: Chapter 3,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.","Horror, Thriller",/iDdGfdNvY1EX0uDdA4Ru77fwMfc.jpg,6.3
Xiu Xiu: The Sent-Down Girl,"Young teen girl Xiu Xiu is sent away to a remote corner of the Sichuan steppes for manual labor in 1975 (sending young people to there was a part of Cultural Revolution in China). A year later, she agrees to go to even more remote spot with a Tibetan saddle tramp Lao Jin to learn horse herding.",Drama,/f60ZzxvcNjQG1aXomXuKWEzS2pP.jpg,7.24
Saiyaara,"Two artistic souls find harmony through music despite their contrasting worlds. As feelings deepen, age and circumstances challenge their undeniable bond.","Romance, Drama, Music",/hQBIsi3ZfBYEayMc3GhcEmJVkss.jpg,6.4
Dreamgirls,"A trio of female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.","Drama, Music",/sG5JyOj8Spe13QkNJMH8b5kzQUh.jpg,6.718
Unknown,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.","Action, Mystery, Thriller",/aXBQD515okXQZmYA89ntXMvSJSd.jpg,6.688
Flirting Scholar,"A scholar in search of true love. Disguising himself as a houseboy, he indentures himself to a rich family in order to pursue the ravishing servant girl who has stolen his heart.","Drama, Comedy, Romance",/nlTMQXCrwInbQd0qFapPoPVsnOH.jpg,7.495
The Aviator,"A biopic depicting the life of filmmaker and aviation pioneer Howard Hughes from 1927 to 1947, during which time he became a successful film producer and an aviation magnate, while simultaneously growing more unstable due to severe obsessive-compulsive disorder.",Drama,/lx4kWcZc3o9PaNxlQpEJZM17XUI.jpg,7.218
Batman Forever,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian.","Action, Crime, Fantasy",/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,5.459
The Rundown,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.","Adventure, Action, Comedy, Thriller",/dJX06UwlLIwbLLt9UQ6DlkHF4jz.jpg,6.4
The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",Horror,/781px1eOtfVt1RdIsL4Dt1s3x7R.jpg,6.306
Two Country Bumpkins in Colombo,,Comedy,/92IFU6CbvCPfo13XQRtzHRcCK2O.jpg,0.0
